date,opponent,venue,goals_for,goals_against,xg,xga,shots_for,shots_against,competition,manager,notes,season,match_number,points,result,goal_diff,xg_diff,shot_diff,cum_points,rolling_xg_diff,rolling_xga,rolling_shots_against,expected_points,cum_expected_points,ronaldo_period,scenario,cf_shots_for,cf_shots_against,cf_xg,cf_xga,cf_expected_points
2021-08-14,Leeds,H,5,1,1.642,0.568,16,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,1,3,W,4,1.0739999999999998,6,3,1.0739999999999998,0.568,10.0,2.148070098114335,2.148070098114335,Pre-Ronaldo,counterfactual_cdm,15.36,9.0,1.593,0.368,2.283165725557587
2021-08-22,Southampton,A,1,1,2.262,0.588,16,8,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,2,1,D,0,1.674,8,4,1.3739999999999999,0.578,9.0,2.4291589391629156,4.577229037277251,Pre-Ronaldo,counterfactual_cdm,15.36,7.2,2.176,0.41,2.512313377787203
2021-08-29,Wolverhampton Wanderers,A,1,0,0.944,1.796,10,15,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,3,3,W,1,-0.8520000000000001,-5,7,0.6319999999999999,0.984,11.0,0.8168950143647983,5.394124051642049,Pre-Ronaldo,counterfactual_cdm,9.6,13.5,0.937,1.365,1.047965035179177
2021-09-11,Newcastle United,H,4,1,2.773,0.622,21,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,4,3,W,3,2.1510000000000002,9,10,0.991,1.002,11.666666666666666,2.5812298684476374,7.975353920089686,Post-Ronaldo,counterfactual_cdm,20.16,10.8,2.657,0.391,2.6701897560687686
2021-09-19,West Ham,A,2,1,1.895,1.667,17,13,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,5,3,W,1,0.22799999999999998,4,13,0.5090000000000001,1.361666666666667,13.333333333333334,1.5292589218374042,9.504612841927091,Post-Ronaldo,counterfactual_cdm,16.32,11.7,1.831,1.278,1.740539563191191
2021-09-25,Aston Villa,H,0,1,1.925,1.572,28,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,6,0,L,-1,0.353,21,13,0.9106666666666667,1.2870000000000001,10.666666666666666,1.606525700914447,11.111138542841537,Post-Ronaldo,counterfactual_cdm,26.88,6.3,1.86,1.268,1.7649502893348992
2021-10-02,Everton,H,1,1,1.05,1.322,13,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,7,1,D,0,-0.272,1,14,0.10300000000000005,1.5203333333333333,10.666666666666666,1.1640858340081925,12.27522437684973,Post-Ronaldo,counterfactual_cdm,12.48,10.8,1.037,0.993,1.38153283323384
2021-10-16,Leicester,A,2,4,1.025,2.966,18,22,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,8,0,L,-2,-1.9410000000000003,-4,14,-0.62,1.9533333333333334,13.666666666666666,0.43310294085975903,12.70832731770949,Post-Ronaldo,counterfactual_cdm,17.28,19.8,1.013,2.287,0.6475093510121495
2021-10-24,Liverpool,H,0,5,1.356,4.048,12,19,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,9,0,L,-5,-2.692,-7,14,-1.635,2.7786666666666666,17.666666666666668,0.3189136121999411,13.02724092990943,Post-Ronaldo,counterfactual_cdm,11.52,17.1,1.325,3.253,0.49053961558285697
2021-10-30,Tottenham,A,3,0,1.386,1.158,10,9,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,10,3,W,3,0.22799999999999998,1,17,-1.4683333333333335,2.724,16.666666666666668,1.5288149642206907,14.556055894130122,Post-Ronaldo,counterfactual_cdm,9.6,8.1,1.353,0.888,1.705913339511495
2021-11-06,Manchester City,H,0,2,0.76,2.042,6,16,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,11,0,L,-2,-1.2819999999999998,-10,17,-1.2486666666666666,2.416,14.666666666666666,0.5847553060905791,15.140811200220702,Post-Ronaldo,counterfactual_cdm,5.76,14.4,0.764,1.564,0.8001544965069834
2021-11-20,Watford,A,1,4,1.668,2.734,9,20,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,12,0,L,-3,-1.066,-11,17,-0.7066666666666667,1.9779999999999998,15.0,0.8419641012178753,15.982775301438577,Post-Ronaldo,counterfactual_cdm,8.64,18.0,1.618,2.111,1.10313287967516
