date,opponent,venue,goals_for,goals_against,xg,xga,shots_for,shots_against,competition,manager,notes
2021-08-14,Leeds United,H,5,1,1.9,0.6,16,10,Premier League,Ole Gunnar Solskjaer,Pre-Ronaldo
2021-08-22,Southampton,A,1,1,1.5,1.1,15,13,Premier League,Ole Gunnar Solskjaer,Pre-Ronaldo
2021-08-29,Wolverhampton Wanderers,A,1,0,0.9,1.7,10,19,Premier League,Ole Gunnar Solskjaer,Pre-Ronaldo
2021-09-11,Newcastle United,H,4,1,2.3,1.2,21,12,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-09-19,West Ham United,A,2,1,1.4,1.3,13,14,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-09-25,Aston Villa,H,0,1,1.3,0.9,28,7,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-10-02,Everton,H,1,1,1.6,1.5,13,12,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-10-16,Leicester City,A,2,4,1.2,2.5,15,18,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-10-24,Liverpool,H,0,5,0.8,3.1,12,19,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-10-30,Tottenham Hotspur,A,3,0,1.7,0.7,10,9,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-11-06,Manchester City,H,0,2,0.6,2.0,5,16,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-11-20,Watford,A,1,4,1.4,2.6,9,20,Premier League,Ole Gunnar Solskjaer,Post-Ronaldo
2021-11-28,Chelsea,A,1,1,0.8,2.2,3,24,Premier League,Michael Carrick,Post-Ole
2021-12-02,Arsenal,H,3,2,1.9,1.4,14,11,Premier League,Michael Carrick,Post-Ole
2021-12-05,Crystal Palace,H,1,0,0.9,0.8,12,8,Premier League,Ralf Rangnick,Post-Ole
2021-12-11,Norwich City,A,1,0,1.8,0.7,17,10,Premier League,Ralf Rangnick,Post-Ole
2021-12-27,Newcastle United,A,1,1,1.1,1.6,13,15,Premier League,Ralf Rangnick,Post-Ole
2021-12-30,Burnley,H,3,1,2.0,0.9,17,10,Premier League,Ralf Rangnick,Post-Ole
2022-01-03,Wolverhampton Wanderers,H,0,1,0.7,1.2,9,19,Premier League,Ralf Rangnick,Post-Ole
2022-01-15,Aston Villa,A,2,2,1.6,1.8,13,13,Premier League,Ralf Rangnick,Post-Ole
2022-01-22,West Ham United,H,1,0,1.4,0.8,18,8,Premier League,Ralf Rangnick,Post-Ole
2022-02-08,Burnley,A,1,1,2.1,0.9,22,8,Premier League,Ralf Rangnick,Post-Ole
2022-02-12,Southampton,H,1,1,1.5,1.2,12,13,Premier League,Ralf Rangnick,Post-Ole
2022-02-20,Leeds United,A,4,2,2.1,1.4,15,16,Premier League,Ralf Rangnick,Post-Ole
2022-02-26,Watford,H,0,0,2.0,0.5,22,9,Premier League,Ralf Rangnick,Post-Ole
2022-03-06,Manchester City,A,1,4,0.9,2.8,5,24,Premier League,Ralf Rangnick,Post-Ole
2022-03-12,Tottenham Hotspur,H,3,2,1.8,1.6,12,10,Premier League,Ralf Rangnick,Post-Ole
2022-04-02,Leicester City,H,1,1,1.2,1.5,10,13,Premier League,Ralf Rangnick,Post-Ole
2022-04-09,Everton,A,0,1,0.7,0.9,12,8,Premier League,Ralf Rangnick,Post-Ole
2022-04-16,Norwich City,H,3,2,2.6,1.4,20,15,Premier League,Ralf Rangnick,Post-Ole
2022-04-23,Arsenal,A,1,3,1.5,2.1,14,16,Premier League,Ralf Rangnick,Post-Ole
2022-05-02,Brentford,H,3,0,1.7,0.6,14,8,Premier League,Ralf Rangnick,Post-Ole
2022-05-07,Brighton and Hove Albion,A,0,4,0.6,2.2,15,17,Premier League,Ralf Rangnick,Post-Ole
2022-05-10,Crystal Palace,H,2,1,1.6,1.0,14,9,Premier League,Ralf Rangnick,Post-Ole
2022-05-15,Chelsea,H,1,1,1.0,1.7,8,18,Premier League,Ralf Rangnick,Post-Ole
2022-05-17,Liverpool,A,0,4,0.5,2.4,6,17,Premier League,Ralf Rangnick,Post-Ole
2022-05-19,Brentford,A,0,1,0.8,1.2,9,11,Premier League,Ralf Rangnick,Post-Ole
2022-05-22,Crystal Palace,A,1,0,0.9,1.0,10,12,Premier League,Ralf Rangnick,Post-Ole
