date,opponent,venue,goals_for,goals_against,xg,xga,shots_for,shots_against,competition,manager,notes
2020-09-19,Crystal Palace,H,1,3,1.097,1.915,17,14,Premier League,,Real data fetched from Understat
2020-09-26,Brighton,A,3,2,1.576,2.977,7,19,Premier League,,Real data fetched from Understat
2020-10-04,Tottenham,H,1,6,0.873,3.302,5,22,Premier League,,Real data fetched from Understat
2020-10-17,Newcastle United,A,4,1,2.217,0.867,29,7,Premier League,,Real data fetched from Understat
2020-10-24,Chelsea,H,0,0,0.648,0.22,14,6,Premier League,,Real data fetched from Understat
2020-11-01,Arsenal,H,0,1,0.394,0.998,8,7,Premier League,,Real data fetched from Understat
2020-11-07,Everton,A,3,1,1.596,0.376,13,7,Premier League,,Real data fetched from Understat
2020-11-21,West Bromwich Albion,H,1,0,2.43,0.439,17,7,Premier League,,Real data fetched from Understat
2020-11-29,Southampton,A,3,2,2.475,0.499,15,10,Premier League,,Real data fetched from Understat
2020-12-05,West Ham,A,3,1,1.787,2.53,15,19,Premier League,,Real data fetched from Understat
2020-12-12,Manchester City,H,0,0,0.592,1.284,11,9,Premier League,,Real data fetched from Understat
2020-12-17,Sheffield United,A,3,2,1.787,1.235,14,12,Premier League,,Real data fetched from Understat
2020-12-20,Leeds,H,6,2,4.777,1.635,26,17,Premier League,,Real data fetched from Understat
2020-12-26,Leicester,A,2,2,2.084,1.04,10,10,Premier League,,Real data fetched from Understat
2020-12-29,Wolverhampton Wanderers,H,1,0,1.482,0.411,11,9,Premier League,,Real data fetched from Understat
2021-01-01,Aston Villa,H,2,1,2.465,1.564,19,15,Premier League,,Real data fetched from Understat
2021-01-12,Burnley,A,1,0,1.24,0.649,13,12,Premier League,,Real data fetched from Understat
2021-01-17,Liverpool,A,0,0,1.189,1.202,8,17,Premier League,,Real data fetched from Understat
2021-01-20,Fulham,A,2,1,1.684,0.754,15,12,Premier League,,Real data fetched from Understat
2021-01-27,Sheffield United,H,1,2,0.993,0.69,16,5,Premier League,,Real data fetched from Understat
2021-01-30,Arsenal,A,0,0,1.513,0.747,14,17,Premier League,,Real data fetched from Understat
2021-02-02,Southampton,H,9,0,5.032,0.508,24,4,Premier League,,Real data fetched from Understat
2021-02-06,Everton,H,3,3,1.718,1.557,14,6,Premier League,,Real data fetched from Understat
2021-02-14,West Bromwich Albion,A,1,1,0.424,0.946,10,7,Premier League,,Real data fetched from Understat
2021-02-21,Newcastle United,H,3,1,1.726,0.342,15,10,Premier League,,Real data fetched from Understat
2021-02-28,Chelsea,A,0,0,0.36,1.173,11,18,Premier League,,Real data fetched from Understat
2021-03-03,Crystal Palace,A,0,0,0.584,0.742,11,8,Premier League,,Real data fetched from Understat
2021-03-07,Manchester City,A,2,0,2.114,1.276,8,23,Premier League,,Real data fetched from Understat
2021-03-14,West Ham,H,1,0,1.701,0.464,15,8,Premier League,,Real data fetched from Understat
2021-04-04,Brighton,H,2,1,1.735,1.411,15,5,Premier League,,Real data fetched from Understat
2021-04-11,Tottenham,A,3,1,2.097,0.922,12,12,Premier League,,Real data fetched from Understat
2021-04-18,Burnley,H,3,1,2.875,0.96,17,10,Premier League,,Real data fetched from Understat
2021-04-25,Leeds,A,0,0,1.116,0.217,16,6,Premier League,,Real data fetched from Understat
2021-05-09,Aston Villa,A,3,1,1.888,0.565,18,11,Premier League,,Real data fetched from Understat
2021-05-11,Leicester,H,1,2,0.213,0.992,4,12,Premier League,,Real data fetched from Understat
2021-05-13,Liverpool,H,2,4,1.713,2.938,18,17,Premier League,,Real data fetched from Understat
2021-05-18,Fulham,H,1,1,0.922,0.873,13,8,Premier League,,Real data fetched from Understat
2021-05-23,Wolverhampton Wanderers,A,2,1,2.052,0.701,9,14,Premier League,,Real data fetched from Understat
